ticker,type,entry_date,exit_date,exit_reason,pnl_eur,pnl_pct,bars_held,ticker_class,pit_rule,sp500_member,dollar_vol_at_entry,entry_price,position_eur,max_r_mult,strike,entry_option_price,spread_pct
SHY,stock,2024-05-07,2024-05-20,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,,75.85,1000.0,0.73,,,
EWU,stock,2024-05-07,2024-05-29,trailing_stop,3.37,0.34,15,etf,etf_inception,,,33.05,1000.0,1.4,,,
HON,stock,2024-05-15,2024-05-29,trailing_stop,-21.27,-2.13,9,us_stock,sp500,True,,184.85,1000.0,0.44,,,
CORN,stock,2024-05-07,2024-05-30,trailing_stop,-33.7,-3.37,16,etf,etf_inception,,,20.79,1000.0,0.2,,,
EXC,stock,2024-05-16,2024-05-30,trailing_stop,-44.2,-4.42,9,us_stock,sp500,True,,36.35,1000.0,0.0,,,
SOYB,stock,2024-05-07,2024-06-03,trailing_stop,-39.31,-3.93,18,etf,etf_inception,,,26.01,1000.0,0.0,,,
EMR,stock,2024-05-13,2024-06-03,trailing_stop,-50.95,-5.1,14,us_stock,sp500,True,,111.67,1000.0,0.0,,,
PFE,stock,2024-05-08,2024-06-13,trailing_stop,-0.0,-0.0,25,us_stock,sp500,True,,24.33,1000.0,1.83,,,
RTX,stock,2024-06-04,2024-06-17,trailing_stop,-30.0,-3.06,9,us_stock,sp500,True,,104.09,981.39,0.36,,,
SPG,stock,2024-06-07,2024-06-21,trailing_stop,-17.43,-1.78,9,us_stock,sp500,True,,137.97,981.39,0.66,,,
ASML,stock,2024-06-10,2024-06-24,trailing_stop,-0.0,-0.0,9,eu_stock,dollar_vol,,977865281.0,1002.01,981.39,0.79,,,
ORCL,stock,2024-06-14,2024-06-28,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,932953424.0,136.95,981.39,0.69,,,
SLB,stock,2024-06-26,2024-07-10,trailing_stop,-49.76,-5.1,9,us_stock,sp500,True,512446038.0,45.09,976.65,0.0,,,
COST,stock,2024-05-07,2024-07-12,trailing_stop,110.31,11.03,45,us_stock,sp500,True,,752.4,1000.0,5.19,,,
AMZN,stock,2024-07-01,2024-07-15,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,7661486860.0,193.68,976.65,0.73,,,
SMH,stock,2024-06-07,2024-07-17,trailing_stop,9.98,1.02,26,etf,etf_inception,,,250.6,981.39,2.38,,,
EWT,stock,2024-06-21,2024-07-17,trailing_stop,-0.0,-0.0,17,etf,etf_inception,,142797212.0,50.52,976.65,1.43,,,
TMUS,stock,2024-05-30,2024-07-23,trailing_stop,42.26,4.27,36,us_stock,sp500,True,,164.18,990.42,3.99,,,
T,stock,2024-06-04,2024-07-23,trailing_stop,23.72,2.42,33,us_stock,sp500,True,,16.55,981.39,2.4,,,
AAPL,stock,2024-05-07,2024-07-24,trailing_stop,185.27,18.53,53,us_stock,sp500,True,,181.98,1000.0,6.3,,,
WMT,stock,2024-05-20,2024-08-02,trailing_stop,56.1,5.61,51,us_stock,sp500,True,,63.55,1000.0,2.93,,,
GS,stock,2024-07-17,2024-08-02,trailing_stop,-50.12,-5.1,12,us_stock,sp500,True,987819456.0,485.56,983.7,0.27,,,
XLI,stock,2024-07-17,2024-08-02,trailing_stop,-46.37,-4.71,12,etf,etf_inception,,1092162853.0,124.99,983.7,0.04,,,
ADBE,stock,2024-06-18,2024-08-05,trailing_stop,-0.0,-0.0,32,us_stock,sp500,True,1621110437.0,515.22,978.39,1.75,,,
SLB,stock,2024-07-23,2024-08-05,trailing_stop,-50.46,-5.09,9,us_stock,sp500,True,491207072.0,46.94,990.3,0.0,,,
DUK,stock,2024-07-15,2024-10-07,trailing_stop,81.12,8.26,59,us_stock,sp500,True,255442654.0,98.42,982.71,4.71,,,
KO,stock,2024-07-29,2024-10-07,trailing_stop,46.82,4.64,49,us_stock,sp500,True,704855443.0,63.66,1008.83,3.17,,,
IEF,stock,2024-08-05,2024-10-09,trailing_stop,-21.25,-2.13,46,etf,etf_inception,,607855597.0,92.81,999.74,0.92,,,
WEAT,stock,2024-10-04,2024-10-17,trailing_stop,-29.86,-3.32,9,etf,etf_inception,,4108281.0,26.73,898.54,0.39,,,
MPC,stock,2024-10-07,2024-10-18,trailing_stop,-46.43,-5.1,9,us_stock,sp500,True,441422042.0,165.88,911.33,0.0,,,
OXY,stock,2024-10-08,2024-10-21,trailing_stop,-46.43,-5.1,9,us_stock,sp500,True,530227410.0,53.29,911.33,0.0,,,
AGG,stock,2024-08-05,2024-10-22,trailing_stop,-15.98,-1.6,55,etf,etf_inception,,690889938.0,94.92,999.74,1.64,,,
TMO,stock,2024-07-26,2024-10-23,trailing_stop,-51.4,-5.09,62,us_stock,sp500,True,858249492.0,597.91,1008.83,0.8,,,
XLE,stock,2024-10-08,2024-10-28,trailing_stop,-41.35,-4.54,14,etf,etf_inception,,1285200486.0,44.33,911.33,0.12,,,
BNO,stock,2024-10-09,2024-10-28,trailing_stop,-39.4,-4.33,13,etf,etf_inception,,16343212.0,29.94,909.21,0.74,,,
USB,stock,2024-10-18,2024-11-04,trailing_stop,-45.94,-5.1,11,us_stock,sp500,True,323716684.0,47.54,901.58,0.0,,,
SLV,stock,2024-10-23,2024-11-06,trailing_stop,-45.36,-5.09,10,etf,etf_inception,,671406194.0,31.13,890.2,0.16,,,
ABBV,stock,2024-11-04,2024-11-11,emergency_stop,-132.38,-15.08,5,us_stock,sp500,True,872227729.0,195.53,877.53,0.0,,,
ED,stock,2024-08-05,2024-11-12,trailing_stop,-50.94,-5.1,70,us_stock,sp500,True,172589081.0,97.1,999.74,1.3,,,
EWT,stock,2024-10-21,2024-11-12,trailing_stop,-36.28,-4.04,16,etf,etf_inception,,177537873.0,52.27,896.94,0.12,,,
D,stock,2024-08-05,2024-11-13,trailing_stop,13.32,1.33,71,us_stock,sp500,True,184028272.0,51.98,999.74,2.23,,,
AMZN,stock,2024-11-11,2024-11-22,trailing_stop,-39.73,-4.62,9,us_stock,sp500,True,7431651610.0,208.71,859.76,0.51,,,
ORCL,stock,2024-11-12,2024-11-25,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,1117616875.0,186.35,851.03,0.47,,,
SRE,stock,2024-11-12,2024-12-02,trailing_stop,-0.0,-0.0,13,us_stock,sp500,True,214058114.0,88.21,851.03,0.55,,,
UNG,stock,2024-11-25,2024-12-09,trailing_stop,-43.23,-5.1,9,etf,etf_inception,,107608569.0,14.99,848.39,0.06,,,
AGG,stock,2024-12-03,2024-12-16,trailing_stop,-9.82,-1.16,9,etf,etf_inception,,722829084.0,94.35,848.39,0.27,,,
AXP,stock,2024-10-21,2024-12-18,trailing_stop,42.81,4.77,41,us_stock,sp500,True,679590918.0,271.74,896.94,2.6,,,
IBM,stock,2024-11-25,2024-12-18,trailing_stop,6.57,0.77,16,us_stock,sp500,True,723004087.0,216.71,848.39,1.67,,,
TSLA,stock,2024-10-29,2024-12-31,trailing_stop,483.12,54.77,43,us_stock,sp500,True,19120749566.0,264.77,882.12,9.51,,,
DGE.L,stock,2024-12-16,2025-01-03,trailing_stop,-42.96,-5.1,11,eu_stock,dollar_vol,,9196699031.0,2491.58,843.09,0.0,,,
HON,stock,2024-11-13,2025-01-06,trailing_stop,-43.43,-5.1,35,us_stock,sp500,True,620219608.0,214.85,852.37,0.17,,,
NFLX,stock,2024-10-23,2025-01-07,trailing_stop,122.44,13.75,51,us_stock,sp500,True,2206283325.0,76.36,890.2,4.37,,,
FXI,stock,2024-12-11,2025-01-08,trailing_stop,-43.01,-5.1,18,etf,etf_inception,,1335090028.0,30.27,844.07,0.07,,,
ASML,stock,2025-01-08,2025-01-23,trailing_stop,-0.0,-0.0,9,eu_stock,dollar_vol,,1227363322.0,745.64,932.63,0.3,,,
SMH,stock,2025-01-08,2025-01-27,trailing_stop,-0.0,-0.0,11,etf,etf_inception,,1735687472.0,253.03,932.63,0.96,,,
ETN,stock,2025-01-23,2025-01-27,emergency_stop,-140.69,-15.08,2,us_stock,sp500,True,701219815.0,361.73,932.63,0.08,,,
DHR,stock,2025-01-08,2025-01-29,trailing_stop,-0.0,-0.0,13,us_stock,sp500,True,705949662.0,237.36,932.63,1.36,,,
ERIC-B.ST,stock,2025-01-17,2025-01-30,trailing_stop,-47.52,-5.1,9,eu_stock,dollar_vol,,505119214.0,91.27,932.63,0.85,,,
UNG,stock,2024-12-24,2025-01-31,trailing_stop,-5.09,-0.6,24,etf,etf_inception,,108384184.0,16.02,848.03,2.93,,,
PLD,stock,2025-01-27,2025-02-07,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,433969377.0,113.14,918.56,0.4,,,
MMM,stock,2025-01-22,2025-02-10,trailing_stop,-0.0,-0.0,13,us_stock,sp500,True,473102490.0,144.64,932.63,1.02,,,
DE,stock,2025-01-27,2025-02-13,trailing_stop,-46.8,-5.1,13,us_stock,sp500,True,542153664.0,474.0,918.56,0.0,,,
BATS.L,stock,2025-01-29,2025-02-13,trailing_stop,22.05,2.4,11,eu_stock,dollar_vol,,11474341285.0,2951.3,918.56,1.91,,,
IBM,stock,2025-01-31,2025-02-13,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,766462277.0,248.43,913.3,0.64,,,
META,stock,2025-01-30,2025-02-19,trailing_stop,-0.0,-0.0,13,us_stock,sp500,True,7349656707.0,694.73,913.81,0.97,,,
CPER,stock,2025-02-11,2025-02-25,trailing_stop,-10.61,-1.34,9,etf,etf_inception,,4331772.0,28.73,792.75,1.61,,,
LLY,stock,2025-02-07,2025-03-10,trailing_stop,-40.39,-5.09,20,us_stock,sp500,True,2703619270.0,869.46,792.75,1.15,,,
SRE,stock,2025-02-25,2025-03-10,trailing_stop,-40.21,-5.09,9,us_stock,sp500,True,251964835.0,69.67,789.21,0.13,,,
ABT,stock,2024-08-05,2025-03-12,trailing_stop,192.63,19.27,150,us_stock,sp500,True,640327747.0,108.31,999.74,4.86,,,
KO,stock,2025-02-13,2025-03-14,trailing_stop,-0.0,-0.0,20,us_stock,sp500,True,886079393.0,66.63,790.28,1.23,,,
GLD,stock,2025-01-21,2025-04-04,trailing_stop,96.62,10.36,52,etf,etf_inception,,1611698754.0,252.2,932.63,8.05,,,
EWU,stock,2025-02-13,2025-04-04,trailing_stop,-0.0,-0.0,35,etf,etf_inception,,41873216.0,35.0,790.28,2.15,,,
FXI,stock,2025-02-19,2025-04-04,trailing_stop,-24.99,-3.16,32,etf,etf_inception,,1335017622.0,34.38,790.28,1.93,,,
CCI,stock,2025-03-18,2025-04-04,trailing_stop,-0.0,-0.0,13,us_stock,sp500,True,258290446.0,97.38,800.42,0.82,,,
DUK,stock,2025-02-07,2025-04-07,trailing_stop,19.56,2.47,40,us_stock,sp500,True,316632721.0,109.37,792.75,3.05,,,
UNH,stock,2025-03-24,2025-04-07,trailing_stop,1.79,0.22,10,us_stock,sp500,True,2175067545.0,501.45,800.42,1.05,,,
T,stock,2025-03-31,2025-04-11,trailing_stop,-40.78,-5.1,9,us_stock,sp500,True,731181217.0,27.1,800.42,0.23,,,
TIP,stock,2025-04-02,2025-04-15,trailing_stop,-12.99,-1.94,9,etf,etf_inception,,212313343.0,107.83,670.61,0.09,,,
SHY,stock,2025-04-02,2025-04-15,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,288014352.0,79.84,670.61,0.63,,,
AMT,stock,2025-04-07,2025-04-21,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,475139024.0,210.19,679.91,0.63,,,
CORN,stock,2025-04-14,2025-04-28,trailing_stop,-23.17,-3.43,9,etf,etf_inception,,1540091.0,19.65,675.83,0.0,,,
GLD,stock,2025-04-23,2025-05-08,trailing_stop,-0.0,-0.0,11,etf,etf_inception,,1939415056.0,304.48,674.53,0.84,,,
KO,stock,2025-04-07,2025-05-12,trailing_stop,25.76,3.79,24,us_stock,sp500,True,956956593.0,64.43,679.91,2.75,,,
ULVR.L,stock,2025-04-07,2025-05-14,trailing_stop,-0.0,-0.0,24,eu_stock,dollar_vol,,17016114324.0,4705.33,679.91,2.12,,,
TLT,stock,2025-04-08,2025-05-21,trailing_stop,-34.64,-5.09,30,etf,etf_inception,,3357403440.0,85.83,679.91,0.33,,,
NEE,stock,2025-05-13,2025-05-27,trailing_stop,-21.34,-3.5,9,us_stock,sp500,True,769880196.0,68.12,609.76,1.35,,,
NKE,stock,2025-05-14,2025-05-28,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,1060271461.0,60.58,609.76,0.29,,,
PG,stock,2025-05-29,2025-06-11,trailing_stop,-11.59,-1.92,9,us_stock,sp500,True,1182399910.0,163.46,604.16,0.61,,,
EWG,stock,2025-05-29,2025-06-11,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,55159332.0,41.29,604.16,0.59,,,
PPLT,stock,2025-05-22,2025-07-30,trailing_stop,140.11,23.11,46,etf,etf_inception,,15897324.0,98.22,606.3,9.9,,,
SPXL,stock,2025-05-06,2025-08-01,trailing_stop,215.56,35.5,60,etf,etf_inception,,631412587.0,129.56,607.19,4.0,,,
TQQQ,stock,2025-05-06,2025-08-01,trailing_stop,296.88,48.9,60,etf,etf_inception,,4226894322.0,27.91,607.19,4.58,,,
ETN,stock,2025-05-05,2025-08-05,trailing_stop,157.25,23.39,63,us_stock,sp500,True,807423094.0,293.89,672.21,4.43,,,
MSFT,stock,2025-05-05,2025-08-07,trailing_stop,136.01,20.23,65,us_stock,sp500,True,8800014659.0,430.01,672.21,4.06,,,
DE,stock,2025-05-05,2025-08-14,trailing_stop,14.58,2.17,70,us_stock,sp500,True,580978519.0,476.22,672.21,2.0,,,
META,stock,2025-08-04,2025-08-18,trailing_stop,-0.0,-0.0,10,us_stock,sp500,True,8713166909.0,758.98,668.26,0.73,,,
LQD,stock,2025-08-05,2025-08-18,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,2764196353.0,106.97,683.99,0.52,,,
EWJ,stock,2025-08-14,2025-08-27,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,338837906.0,75.96,699.04,0.8,,,
BATS.L,stock,2025-05-08,2025-09-02,trailing_stop,149.78,24.67,81,eu_stock,dollar_vol,,12482296957.0,3179.56,607.19,10.55,,,
INTC,stock,2025-08-18,2025-09-02,trailing_stop,-0.0,-0.0,10,us_stock,sp500,True,1953964873.0,24.02,699.04,0.66,,,
AEP,stock,2025-08-01,2025-09-03,trailing_stop,-27.37,-4.1,22,us_stock,sp500,True,321297552.0,111.77,668.26,0.14,,,
NKE,stock,2025-07-30,2025-09-09,trailing_stop,-31.44,-5.1,28,us_stock,sp500,True,1042180936.0,76.44,617.02,0.36,,,
PPLT,stock,2025-09-04,2025-09-17,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,26373159.0,126.65,705.83,0.29,,,
TIP,stock,2025-09-02,2025-09-25,trailing_stop,2.38,0.34,17,etf,etf_inception,,250204001.0,109.38,708.57,1.97,,,
AVGO,stock,2025-09-09,2025-09-25,trailing_stop,-35.8,-5.09,12,us_stock,sp500,True,5773318569.0,348.63,702.69,0.74,,,
EWZ,stock,2025-09-02,2025-10-07,trailing_stop,21.33,3.01,25,etf,etf_inception,,596310468.0,27.88,708.57,2.38,,,
HAL,stock,2025-09-25,2025-10-08,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,293682232.0,23.91,699.35,0.59,,,
VWO,stock,2025-09-17,2025-10-10,trailing_stop,-16.55,-2.36,17,etf,etf_inception,,403192511.0,53.23,702.69,0.82,,,
0700.HK,stock,2025-08-18,2025-10-14,trailing_stop,31.82,4.55,39,asia_stock,dollar_vol,,11775241722.0,594.59,699.04,3.02,,,
BITO,stock,2025-10-08,2025-10-17,emergency_stop,-105.82,-15.09,7,etf,etf_inception,,140496781.0,17.17,701.48,0.0,,,
GDX,stock,2025-08-11,2025-10-21,trailing_stop,219.5,31.47,50,etf,etf_inception,,882843059.0,56.24,697.59,9.93,,,
LMT,stock,2025-08-28,2025-10-21,trailing_stop,50.72,7.26,37,us_stock,sp500,True,685680437.0,445.27,699.04,4.69,,,
CSCO,stock,2025-10-10,2025-10-23,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,1259507278.0,70.11,699.82,0.11,,,
GDXJ,stock,2025-10-20,2025-10-27,emergency_stop,-104.45,-15.08,5,etf,etf_inception,,315879539.0,104.17,692.42,0.0,,,
PEP,stock,2025-10-14,2025-10-29,trailing_stop,-0.0,-0.0,11,us_stock,sp500,True,1096240619.0,146.09,703.01,0.91,,,
AGG,stock,2025-10-23,2025-11-05,trailing_stop,-5.34,-0.74,9,etf,etf_inception,,831136525.0,99.58,719.45,0.11,,,
LSEG.L,stock,2025-10-27,2025-11-07,trailing_stop,-36.12,-5.09,9,eu_stock,dollar_vol,,13471476104.0,9817.81,709.0,0.0,,,
AMZN,stock,2025-11-04,2025-11-17,trailing_stop,-49.37,-5.1,9,us_stock,sp500,True,9517030288.0,250.63,968.97,0.0,,,
SRE,stock,2025-09-25,2025-12-08,trailing_stop,16.1,2.3,51,us_stock,sp500,True,315901651.0,85.41,699.35,2.3,,,
SOYB,stock,2025-10-29,2025-12-09,trailing_stop,-0.0,-0.0,28,etf,etf_inception,,833062.0,22.76,709.0,2.24,,,
UNG,stock,2025-11-17,2025-12-09,trailing_stop,-0.0,-0.0,15,etf,etf_inception,,142326464.0,14.51,959.89,1.77,,,
WELL,stock,2025-11-11,2025-12-10,trailing_stop,-0.0,-0.0,20,us_stock,sp500,True,447479835.0,190.92,964.83,1.82,,,
CRM,stock,2025-12-09,2025-12-22,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,2076435700.0,259.84,961.5,0.32,,,
PPLT,stock,2025-12-11,2025-12-29,trailing_stop,250.92,26.1,11,etf,etf_inception,,37955268.0,152.03,961.5,8.71,,,
META,stock,2025-12-08,2026-01-02,trailing_stop,-26.15,-2.72,17,us_stock,sp500,True,9985882638.0,668.89,961.5,0.0,,,
VWO,stock,2026-01-06,2026-01-20,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,443059388.0,55.67,1092.01,0.67,,,
CPER,stock,2025-10-07,2026-01-30,trailing_stop,107.81,15.37,79,etf,etf_inception,,6440734.0,31.54,701.48,6.72,,,
DBB,stock,2025-12-09,2026-01-30,trailing_stop,110.13,11.45,35,etf,etf_inception,,1503325.0,21.57,961.5,7.68,,,
BLK,stock,2026-01-20,2026-02-03,trailing_stop,-55.64,-5.1,10,us_stock,sp500,True,710059080.0,1138.8,1092.01,0.0,,,
NOVO-B.CO,stock,2025-12-30,2026-02-04,trailing_stop,79.72,8.08,24,eu_stock,dollar_vol,,2379477115.0,325.32,986.59,3.36,,,
CSCO,stock,2026-02-04,2026-02-18,trailing_stop,-56.87,-5.09,9,us_stock,sp500,True,1415036066.0,84.06,1116.21,0.76,,,
ASML,stock,2026-01-06,2026-03-03,trailing_stop,137.42,12.58,38,eu_stock,dollar_vol,,1330239989.0,1222.43,1092.01,4.86,,,
VOLV-B.ST,stock,2026-01-30,2026-03-03,trailing_stop,40.33,3.62,22,eu_stock,dollar_vol,,969880990.0,322.72,1113.8,2.26,,,
SHY,stock,2025-05-02,2026-03-05,trailing_stop,20.34,3.03,210,etf,etf_inception,,309941707.0,80.18,672.21,11.12,,,
KO,stock,2025-10-23,2026-03-05,trailing_stop,65.65,9.12,90,us_stock,sp500,True,1116737110.0,69.91,719.45,5.23,,,
PLD,stock,2025-10-22,2026-03-09,trailing_stop,41.17,5.72,93,us_stock,sp500,True,448095202.0,124.38,719.45,2.78,,,
T,stock,2026-02-03,2026-03-12,trailing_stop,26.29,2.37,26,us_stock,sp500,True,1045774867.0,26.14,1108.24,2.5,,,
SOYB,stock,2026-01-30,2026-03-16,trailing_stop,73.48,6.6,30,etf,etf_inception,,1417807.0,22.32,1113.8,5.54,,,
SO,stock,2026-03-03,2026-03-18,trailing_stop,-0.0,-0.0,11,us_stock,sp500,True,491340495.0,96.76,1204.0,0.57,,,
BMY,stock,2026-03-03,2026-03-19,trailing_stop,-59.5,-4.94,12,us_stock,sp500,True,707732969.0,61.63,1204.0,0.28,,,
WEC,stock,2026-03-06,2026-03-19,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,235996123.0,115.64,1212.6,0.56,,,
EXC,stock,2026-02-18,2026-03-19,end_of_data,9.79,0.88,21,us_stock,sp500,True,322637068.0,47.59,1110.52,1.12,,,
ERIC-B.ST,stock,2026-03-03,2026-03-19,end_of_data,35.81,2.97,12,eu_stock,dollar_vol,,548924373.0,104.1,1204.0,1.86,,,
CORN,stock,2026-03-09,2026-03-19,end_of_data,12.49,1.03,8,etf,etf_inception,,1309421.0,18.64,1216.71,0.48,,,
AMD,option,2024-07-10,2024-10-01,dte_exit,-1001.94,-73.65,58,us_stock,sp500,True,8621403368.0,,,,170.99,23.05,3.0
MS,option,2024-07-15,2024-10-01,dte_exit,-10.12,-0.74,55,us_stock,sp500,True,571271516.0,,,,93.93,7.45,3.0
EQIX,option,2024-10-29,2025-01-07,dte_exit,369.85,29.95,47,us_stock,sp500,True,393691040.0,,,,838.41,63.55,3.0
INTC,option,2024-11-08,2025-02-04,dte_exit,-1205.47,-98.63,57,us_stock,sp500,True,1730400782.0,,,,24.7,3.72,3.0
TGT,option,2025-01-08,2025-04-01,dte_exit,-1298.08,-99.42,56,us_stock,sp500,True,644952836.0,,,,125.18,12.81,3.0
SPG,option,2025-02-13,2025-05-06,dte_exit,-650.26,-58.77,56,us_stock,sp500,True,210866734.0,,,,164.98,14.38,3.0
SMH,option,2025-06-11,2025-09-02,dte_exit,332.55,39.39,56,etf,etf_inception,,1774809166.0,,,,249.64,26.54,3.0
QCOM,option,2025-06-11,2025-09-02,dte_exit,-387.1,-45.85,56,us_stock,sp500,True,1406700982.0,,,,149.41,20.09,3.0
GLD,option,2025-09-03,2025-11-04,dte_exit,1223.36,123.8,44,etf,etf_inception,,2522097050.0,,,,311.37,23.65,3.0
SLV,option,2025-09-03,2025-11-04,dte_exit,1376.37,139.29,44,etf,etf_inception,,624867924.0,,,,35.46,3.17,3.0
LLY,option,2025-11-05,2026-01-06,dte_exit,1283.49,94.67,41,us_stock,sp500,True,3133365919.0,,,,862.74,103.43,3.0
BATS.L,option,2025-11-05,2026-01-06,dte_exit,-203.18,-14.99,41,eu_stock,dollar_vol,,16731013111.0,,,,3798.64,318.35,10.0
SBUX,option,2025-12-22,2026-03-03,dte_exit,757.05,56.24,47,us_stock,sp500,True,909396469.0,,,,83.22,8.9,3.0
EEM,option,2026-01-06,2026-03-19,end_of_data,-298.99,-19.56,50,etf,etf_inception,,1238700244.0,,,,54.31,4.11,3.0
